"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2022","627.53","635.84","675.65","617.62","","-1.20%"
"01/01/2022","635.12","660.85","677.10","626.56","","-3.92%"
"12/01/2021","661.01","648.91","669.61","636.46","","2.13%"
"11/01/2021","647.25","676.40","688.96","645.49","","-4.27%"
"10/01/2021","676.15","665.55","693.80","648.91","","1.63%"
"09/01/2021","665.28","694.16","705.45","658.02","","-4.07%"
"08/01/2021","693.49","679.80","696.93","649.53","","2.02%"
"07/01/2021","679.77","726.40","726.50","662.43","","-6.46%"
"06/01/2021","726.69","732.03","738.91","711.26","","-0.63%"
"05/01/2021","731.28","721.78","732.93","691.94","","1.29%"
"04/01/2021","721.96","702.14","735.14","701.90","","2.91%"
"03/01/2021","701.56","717.51","740.73","688.53","","-2.08%"
"02/01/2021","716.45","704.77","767.81","704.55","","1.54%"
"01/01/2021","705.61","682.75","750.69","682.29","","3.29%"
"12/01/2020","683.11","642.80","685.25","642.73","","6.54%"
"11/01/2020","641.17","585.82","656.85","585.72","","9.43%"
"10/01/2020","585.91","573.26","605.06","572.27","","2.32%"
"09/01/2020","572.63","587.57","597.60","559.00","","-2.53%"
"08/01/2020","587.50","566.03","598.68","563.37","","3.67%"
"07/01/2020","566.70","528.41","574.39","528.36","","7.38%"
"06/01/2020","527.77","490.77","539.65","490.69","","7.71%"
"05/01/2020","490.00","489.36","494.58","469.54","","-0.01%"
"04/01/2020","490.04","447.48","491.66","433.92","","9.94%"
"03/01/2020","445.72","520.78","541.52","391.77","","-14.66%"
"02/01/2020","522.29","544.42","573.27","520.73","","-4.53%"
"01/01/2020","547.06","569.82","590.40","546.00","","-3.72%"
"12/01/2019","568.19","540.43","572.28","532.06","","5.38%"
"11/01/2019","539.17","536.32","553.64","534.61","","0.38%"
"10/01/2019","537.13","516.85","539.25","508.49","","3.96%"
"09/01/2019","516.69","508.84","531.23","503.55","","1.54%"
"08/01/2019","508.84","532.68","532.70","494.56","","-4.67%"
"07/01/2019","533.78","543.86","550.25","532.01","","-1.78%"
"06/01/2019","543.44","514.84","545.27","513.60","","5.67%"
"05/01/2019","514.29","553.13","556.06","511.59","","-6.97%"
"04/01/2019","552.80","544.61","561.56","544.55","","1.63%"
"03/01/2019","543.94","537.13","547.66","528.71","","1.31%"
"02/01/2019","536.89","526.79","544.92","522.89","","2.05%"
"01/01/2019","526.12","491.06","526.71","476.50","","7.02%"
"12/01/2018","491.59","509.55","519.01","481.55","","-2.90%"
"11/01/2018","506.28","485.84","510.57","485.84","","4.23%"
"10/01/2018","485.74","541.46","541.50","473.24","","-10.28%"
