"Date","Price","Open","High","Low","Vol.","Change %"
"01/12/2022","39.99","44.17","44.17","39.82","30.97K","-8.05%"
"01/11/2022","43.49","37.90","43.54","37.75","97.29K","15.84%"
"01/10/2022","37.54","39.38","41.29","36.67","65.89K","-5.73%"
"01/09/2022","39.82","44.63","44.81","39.67","95.04K","-12.36%"
"01/08/2022","45.44","45.25","47.50","44.18","48.66K","0.28%"
"01/07/2022","45.31","42.28","45.57","41.73","64.51K","4.65%"
"01/06/2022","43.29","48.21","48.66","43.17","88.69K","-10.92%"
"01/05/2022","48.60","48.04","48.83","45.22","109.25K","0.06%"
"01/04/2022","48.58","50.53","51.69","47.24","79.48K","-3.54%"
"01/03/2022","50.36","52.34","52.67","48.38","118.80K","-1.97%"
"01/02/2022","51.37","52.83","53.38","50.23","176.55K","-1.55%"
"01/01/2022","52.18","53.89","55.22","50.39","230.81K","-2.38%"
"01/12/2021","53.45","51.35","54.00","51.01","79.15K","5.67%"
"01/11/2021","50.58","48.47","52.62","48.24","60.31K","4.88%"
"01/10/2021","48.22","46.94","48.78","46.00","114.41K","0.30%"
"01/09/2021","48.08","49.22","49.70","47.38","244.00K","-1.94%"
"01/08/2021","49.03","47.93","49.21","45.44","47.69K","3.34%"
"01/07/2021","47.44","47.92","49.08","46.60","126.69K","-1.16%"
"01/06/2021","48.00","46.47","48.12","45.35","89.27K","3.83%"
"01/05/2021","46.23","47.10","47.26","41.28","107.25K","-2.83%"
"01/04/2021","47.58","45.77","48.13","45.40","125.97K","4.41%"
"01/03/2021","45.56","43.90","45.76","43.09","167.08K","5.01%"
"01/02/2021","43.39","41.97","45.28","41.97","288.62K","5.19%"
"01/01/2021","41.25","39.58","44.28","39.38","302.59K","6.34%"
"01/12/2020","38.79","36.62","38.95","36.62","141.47K","6.83%"
"01/11/2020","36.31","34.10","37.31","34.10","141.50K","7.30%"
"01/10/2020","33.84","33.74","34.75","33.28","217.13K","1.14%"
"01/09/2020","33.46","32.51","33.94","32.10","159.15K","4.92%"
"01/08/2020","31.89","32.67","33.69","31.84","79.51K","-2.67%"
"01/07/2020","32.76","30.52","33.61","30.49","302.97K","8.44%"
"01/06/2020","30.22","28.69","30.42","28.60","38.33K","7.91%"
"01/05/2020","28.00","28.09","29.29","27.98","286.04K","-2.30%"
"01/04/2020","28.66","25.00","29.28","25.00","76.30K","12.08%"
"01/03/2020","25.57","29.16","29.93","22.92","78.26K","-10.34%"
"01/02/2020","28.52","29.39","31.64","28.39","98.85K","-1.77%"
"01/01/2020","29.03","31.18","31.92","29.02","87.05K","-6.80%"
"01/12/2019","31.16","29.45","31.58","29.00","53.28K","6.02%"
"01/11/2019","29.39","28.61","30.00","28.61","50.07K","3.40%"
"01/10/2019","28.42","27.56","28.69","26.98","49.20K","4.05%"
"01/09/2019","27.32","25.82","27.35","25.61","36.97K","6.12%"
"01/08/2019","25.74","25.86","26.01","24.07","83.00K","-0.62%"
"01/07/2019","25.90","25.39","26.38","25.01","17.86K","4.94%"
"01/06/2019","24.68","24.06","25.17","23.58","127.77K","3.35%"
"01/05/2019","23.88","25.89","26.33","23.24","23.75K","-7.33%"
"01/04/2019","25.77","24.88","26.18","24.88","8.92K","3.93%"
"01/03/2019","24.80","23.59","24.81","23.44","6.69K","5.56%"
"01/02/2019","23.49","23.21","24.11","23.12","3.14K","0.82%"
"01/01/2019","23.30","21.68","23.30","21.40","11.64K","4.09%"
"01/12/2018","22.39","23.60","23.67","21.95","32.50K","-2.14%"
"01/11/2018","22.88","23.07","23.57","22.12","51.84K","-0.54%"
"01/10/2018","23.00","25.73","25.77","21.90","51.25K","-9.84%"
"01/09/2018","25.51","25.35","25.51","24.66","18.73K","0.28%"
"01/08/2018","25.44","25.23","25.52","24.76","20.87K","1.21%"
"01/07/2018","25.14","23.67","25.30","23.41","40.15K","5.27%"
"01/06/2018","23.88","24.47","25.14","23.45","105.54K","-1.68%"
"01/05/2018","24.28","23.43","24.83","22.98","155.03K","3.41%"
"01/04/2018","23.49","24.06","24.59","22.79","112.91K","-3.39%"
"01/03/2018","24.31","23.96","24.73","23.30","61.59K","2.14%"
"01/02/2018","23.80","24.56","24.56","22.75","14.74K","-2.62%"
"01/01/2018","24.44","23.84","25.20","23.79","64.81K","3.12%"
"01/12/2017","23.70","23.63","23.93","23.11","163.01K","0.17%"
"01/11/2017","23.66","24.91","25.08","23.60","50.86K","-4.81%"
"01/10/2017","24.85","23.37","24.86","23.33","94.17K","7.74%"
"01/09/2017","23.07","23.82","23.91","22.86","233.65K","-2.70%"
"01/08/2017","23.71","23.55","24.12","23.18","74.79K","1.00%"
"01/07/2017","23.48","23.81","24.24","23.40","57.73K","-0.84%"
"01/06/2017","23.67","23.35","24.64","23.18","207.61K","2.20%"
"01/05/2017","23.17","23.55","24.00","23.02","211.80K","-0.52%"
"01/04/2017","23.28","23.43","23.88","22.83","48.76K","-0.33%"
"01/03/2017","23.36","23.07","23.54","22.45","97.23K","1.62%"
"01/02/2017","22.99","22.12","23.47","21.77","221.99K","4.58%"
"01/01/2017","21.98","21.12","22.38","21.12","466.43K","4.51%"
"01/12/2016","21.03","21.29","21.98","20.85","183.40K","-1.65%"
"01/11/2016","21.39","21.03","21.42","19.90","540.93K","0.75%"
"01/10/2016","21.23","20.80","21.66","20.58","451.47K","3.49%"
"01/09/2016","20.51","19.83","20.79","19.40","489.93K","3.06%"
"01/08/2016","19.90","20.17","20.83","19.41","362.21K","0.72%"
"01/07/2016","19.76","18.79","20.11","18.18","273.94K","6.70%"
"01/06/2016","18.52","17.74","18.52","17.54","156.05K","5.41%"
"01/05/2016","17.57","16.71","17.58","16.04","136.53K","5.53%"
"01/04/2016","16.65","17.67","17.93","16.65","43.73K","-7.09%"
"01/03/2016","17.92","17.88","18.31","17.47","87.95K","2.46%"
"01/02/2016","17.49","16.54","17.50","15.42","313.31K","5.11%"
"01/01/2016","16.64","16.60","16.93","15.19","368.41K","-2.92%"
"01/12/2015","17.14","18.30","18.44","16.50","148.36K","-5.04%"
"01/11/2015","18.05","17.97","19.04","17.59","227.04K","0.78%"
"01/10/2015","17.91","17.22","18.49","16.94","386.20K","7.25%"
"01/09/2015","16.70","16.56","17.57","16.18","302.66K","-1.07%"
"01/08/2015","16.88","18.67","18.92","14.61","589.70K","-10.69%"
"01/07/2015","18.90","20.45","20.52","18.38","576.46K","-5.74%"
"01/06/2015","20.05","20.87","20.91","19.35","272.21K","-4.98%"
"01/05/2015","21.10","21.09","21.49","20.21","443.06K","0.76%"
"01/04/2015","20.94","20.71","22.23","20.60","190.06K","0.62%"
"01/03/2015","20.81","20.16","21.41","20.15","247.78K","2.26%"
"01/02/2015","20.35","19.34","20.35","19.29","237.88K","6.16%"
"01/01/2015","19.17","17.89","19.99","17.22","327.01K","8.31%"
"01/12/2014","17.70","17.46","17.88","16.48","295.37K","-0.23%"
"01/11/2014","17.74","17.47","17.83","17.18","106.99K","1.55%"
"01/10/2014","17.47","16.83","17.62","16.16","155.44K","3.74%"
"01/09/2014","16.84","17.72","17.82","16.53","222.59K","-3.77%"
"01/08/2014","17.50","16.47","17.50","16.20","112.69K","7.03%"
"01/07/2014","16.35","16.30","17.05","16.26","383.29K","1.30%"
"01/06/2014","16.14","15.45","16.18","15.44","85.61K","4.67%"
"01/05/2014","15.42","14.84","15.63","14.74","43.25K","5.18%"
"01/04/2014","14.66","14.69","15.02","14.50","58.93K","0.27%"
"01/03/2014","14.62","14.02","14.62","13.89","65.97K","3.10%"
"01/02/2014","14.18","13.93","14.28","13.65","236.65K","1.72%"
"01/01/2014","13.94","14.44","14.61","13.71","213.64K","-3.46%"
"01/12/2013","14.44","14.48","14.56","13.98","89.02K","-0.48%"
"01/11/2013","14.51","14.66","14.66","13.98","75.69K","-0.89%"
"01/10/2013","14.64","14.10","14.73","14.10","199.37K","4.27%"
"01/09/2013","14.04","14.25","14.65","13.93","220.03K","0.79%"
"01/08/2013","13.93","14.02","14.17","13.27","260.19K","-0.57%"
"01/07/2013","14.01","14.27","14.76","13.90","408.04K","-0.21%"
"01/06/2013","14.04","14.48","14.48","13.06","421.33K","-3.44%"
"01/05/2013","14.54","14.61","15.13","14.45","175.32K","0.35%"
"01/04/2013","14.49","14.22","14.52","13.55","450.36K","2.19%"
"01/03/2013","14.18","14.23","14.43","13.89","285.70K","-0.21%"
"01/02/2013","14.21","13.50","14.22","13.44","211.99K","5.10%"
"01/01/2013","13.52","14.13","14.41","13.48","169.11K","-2.52%"
"01/12/2012","13.87","14.00","14.34","13.61","172.43K","-1.14%"
"01/11/2012","14.03","13.19","14.06","13.19","402.03K","7.43%"
"01/10/2012","13.06","14.10","14.13","13.06","152.25K","-6.58%"
"01/09/2012","13.98","13.60","14.10","13.31","546.31K","3.48%"
"01/08/2012","13.51","13.46","13.94","13.35","309.58K","1.12%"
"01/07/2012","13.36","13.09","13.53","12.84","145.73K","2.69%"
"01/06/2012","13.01","12.95","13.05","12.43","516.11K","-1.29%"
"01/05/2012","13.18","13.49","13.50","12.76","565.54K","0.92%"
"01/04/2012","13.06","13.51","13.63","12.85","914.70K","-3.55%"
"01/03/2012","13.54","13.87","14.17","13.35","753.04K","-2.31%"
"01/02/2012","13.86","13.27","13.98","13.26","381.94K","5.16%"
"01/01/2012","13.18","12.16","13.21","12.12","763.34K","7.59%"
"01/12/2011","12.25","12.06","12.34","11.41","213.37K","2.85%"
"01/11/2011","11.91","12.27","12.45","11.24","758.33K","-1.98%"
"01/10/2011","12.15","11.60","12.31","11.43","742.77K","4.20%"
"01/09/2011","11.66","12.53","12.59","11.32","770.54K","-6.19%"
"01/08/2011","12.43","13.86","13.86","11.46","1.56M","-9.73%"
"01/07/2011","13.77","13.62","14.05","13.56","906.88K","1.92%"
"01/06/2011","13.51","14.41","14.41","13.26","1.50M","-5.13%"
"01/05/2011","14.24","14.13","14.49","13.66","1.93M","2.01%"
"01/04/2011","13.96","13.80","14.20","13.47","925.91K","2.57%"
