"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2020","22.24","35.44","36.63","18.55","371.62K","-34.36%"
"02/01/2020","33.88","40.12","41.74","32.84","254.34K","-14.75%"
"01/01/2020","39.74","43.66","44.04","39.74","100.14K","-8.91%"
"12/01/2019","43.62","38.51","43.98","38.01","83.23K","13.40%"
"11/01/2019","38.47","40.44","41.44","37.59","123.70K","-3.89%"
"10/01/2019","40.02","38.07","41.08","36.79","142.90K","5.44%"
"09/01/2019","37.96","36.85","39.13","36.13","54.17K","2.90%"
"08/01/2019","36.88","40.21","40.75","34.61","22.66K","-9.79%"
"07/01/2019","40.89","40.12","43.13","39.37","77.48K","2.19%"
"06/01/2019","40.01","37.39","40.55","37.29","24.36K","5.68%"
"05/01/2019","37.87","36.80","37.87","32.76","39.18K","2.59%"
"04/01/2019","36.91","37.26","38.47","35.69","51.92K","-0.87%"
"03/01/2019","37.24","38.75","40.44","34.33","44.34K","-3.57%"
"02/01/2019","38.62","40.35","40.90","37.88","24.05K","-5.40%"
"01/01/2019","40.82","33.88","40.82","33.52","23.43K","20.24%"
"12/01/2018","33.95","36.22","36.27","32.82","27.72K","-4.00%"
"11/01/2018","35.37","36.49","36.86","33.42","4.60K","0.16%"
