"Date","Price","Open","High","Low","Vol.","Change %"
"08/01/2018","574.46","578.51","0.00","0.00","","-0.70%"
"07/01/2018","578.50","561.74","0.00","0.00","","1.70%"
"06/01/2018","568.84","577.89","0.00","0.00","","-0.51%"
"05/01/2018","571.73","570.19","0.00","0.00","","1.23%"
"04/01/2018","564.80","543.38","0.00","0.00","","3.28%"
"03/01/2018","546.85","548.07","0.00","0.00","","-1.43%"
"02/01/2018","554.80","570.98","0.00","0.00","","-2.94%"
"01/01/2018","571.59","560.71","0.00","0.00","","1.99%"
"12/01/2017","560.45","545.77","545.78","0.00","","2.22%"
"11/01/2017","548.29","559.74","559.74","536.63","","-1.16%"
"10/01/2017","554.70","550.22","554.70","545.54","","1.19%"
"09/01/2017","548.15","527.66","548.15","525.20","","4.32%"
"08/01/2017","525.45","532.45","534.99","515.56","","-0.73%"
"07/01/2017","529.33","527.57","537.56","523.57","","0.87%"
"06/01/2017","524.74","542.40","543.11","523.43","","-2.50%"
"05/01/2017","538.18","534.77","546.13","531.44","","0.52%"
"04/01/2017","535.38","511.58","535.47","511.58","","4.51%"
"03/01/2017","512.30","501.76","512.30","497.35","","3.37%"
"02/01/2017","495.58","482.57","499.35","481.25","","3.84%"
"01/01/2017","477.27","478.05","484.95","475.18","","0.57%"
"12/01/2016","474.56","451.23","474.56","448.14","","5.04%"
"11/01/2016","451.77","441.59","452.28","435.40","","1.51%"
"10/01/2016","445.05","456.97","458.90","445.03","","-2.13%"
"09/01/2016","454.74","455.18","463.67","447.50","","0.57%"
"08/01/2016","452.15","443.87","457.20","439.36","","1.11%"
"07/01/2016","447.19","427.69","447.92","405.36","","5.76%"
"06/01/2016","422.82","456.89","461.76","396.52","","-8.34%"
"05/01/2016","461.31","446.24","463.47","438.64","","3.23%"
"04/01/2016","446.89","441.00","453.37","432.56","","0.60%"
"03/01/2016","444.21","439.11","447.29","431.80","","2.63%"
"02/01/2016","432.84","434.58","434.58","387.57","","-0.26%"
"01/01/2016","433.95","462.48","463.15","407.01","","-8.32%"
"12/01/2015","473.33","487.54","488.09","452.74","","-2.78%"
"11/01/2015","486.85","473.41","486.85","465.69","","3.40%"
"10/01/2015","470.86","439.49","472.89","439.49","","6.98%"
"09/01/2015","440.14","446.73","459.90","431.75","","-3.58%"
"08/01/2015","456.47","493.14","495.77","429.32","","-6.89%"
"07/01/2015","490.26","484.56","504.09","463.43","","2.75%"
"06/01/2015","477.16","495.16","495.16","474.43","","-3.18%"
"05/01/2015","492.82","477.23","500.53","472.08","","2.76%"
"04/01/2015","479.59","476.77","498.27","476.77","","0.84%"
"03/01/2015","475.61","468.54","480.19","464.56","","1.39%"
"02/01/2015","469.09","435.14","469.09","435.14","","7.73%"
"01/01/2015","435.45","408.28","440.55","399.05","","6.70%"
"12/01/2014","408.11","401.01","410.31","385.35","","1.48%"
"11/01/2014","402.15","390.40","403.35","387.51","","2.82%"
"10/01/2014","391.13","391.92","391.92","358.00","","-0.92%"
"09/01/2014","394.78","403.00","408.44","392.43","","-1.86%"
"08/01/2014","402.27","391.98","406.29","378.73","","-0.40%"
"07/01/2014","403.90","413.65","419.73","398.85","","-1.18%"
"06/01/2014","408.73","416.61","425.00","406.24","","-1.23%"
"05/01/2014","413.84","406.71","413.84","395.45","","1.91%"
"04/01/2014","406.10","413.86","417.26","391.94","","-0.94%"
"03/01/2014","409.95","406.02","415.71","397.43","","-1.31%"
"02/01/2014","415.40","382.16","415.40","382.16","","7.26%"
"01/01/2014","387.29","388.03","401.71","383.49","","-0.42%"
"12/01/2013","388.92","379.77","388.92","366.82","","2.17%"
"11/01/2013","380.67","375.25","380.67","372.46","","1.19%"
"10/01/2013","376.21","361.35","376.42","356.77","","4.94%"
"09/01/2013","358.50","348.01","362.27","347.70","","4.94%"
"08/01/2013","341.61","346.65","355.75","341.12","","0.02%"
"07/01/2013","341.55","323.63","342.33","321.68","","6.94%"
"06/01/2013","319.39","333.86","334.41","307.34","","-5.04%"
"05/01/2013","336.34","329.60","346.54","329.60","","2.18%"
"04/01/2013","329.17","328.05","329.86","314.57","","1.06%"
"03/01/2013","325.72","324.07","331.76","322.37","","0.09%"
"02/01/2013","325.42","318.58","325.99","314.05","","3.20%"
"01/01/2013","315.34","313.39","319.71","313.39","","2.75%"
"12/01/2012","306.90","298.99","309.25","298.99","","2.72%"
"11/01/2012","298.76","300.12","301.49","285.79","","0.89%"
"10/01/2012","296.12","294.01","300.25","291.02","","1.93%"
"09/01/2012","290.51","285.97","299.77","284.65","","2.40%"
"08/01/2012","283.69","278.35","289.64","273.62","","1.97%"
"07/01/2012","278.21","273.94","281.48","268.09","","3.31%"
"06/01/2012","269.30","253.38","269.71","251.79","","3.45%"
"05/01/2012","260.31","280.80","280.80","256.48","","-7.00%"
"04/01/2012","279.91","283.90","283.90","267.90","","-0.37%"
"03/01/2012","280.95","284.09","289.26","272.44","","-0.29%"
"02/01/2012","281.78","275.12","285.49","249.43","","4.99%"
"01/01/2012","268.38","251.25","270.79","250.75","","7.97%"
"12/01/2011","248.57","245.09","250.49","235.10","","0.19%"
"11/01/2011","248.11","244.94","252.59","226.78","","-2.70%"
"10/01/2011","254.99","235.10","260.61","226.70","","7.34%"
"09/01/2011","237.56","259.17","259.17","231.73","","-7.79%"
"08/01/2011","257.62","281.08","281.08","238.73","","-9.45%"
"07/01/2011","284.52","297.38","299.12","280.31","","-3.37%"
"06/01/2011","294.43","303.13","303.13","282.92","","-3.13%"
"05/01/2011","303.93","304.86","306.31","297.77","","-0.13%"
"04/01/2011","304.34","298.99","304.34","292.25","","3.07%"
"03/01/2011","295.28","298.96","299.99","280.99","","-1.43%"
"02/01/2011","299.56","298.96","304.41","291.60","","1.81%"
"01/01/2011","294.23","295.36","302.42","292.21","","0.12%"
"12/01/2010","293.88","276.66","296.19","276.66","","8.93%"
"11/01/2010","269.79","273.22","280.13","269.79","","-0.68%"
"10/01/2010","271.65","262.74","273.43","262.42","","3.43%"
"09/01/2010","262.65","254.52","264.85","254.52","","5.89%"
"08/01/2010","248.05","259.57","261.11","243.38","","-1.88%"
