"Date","Price","Open","High","Low","Change %"
"05/10/2022","91.720","92.250","92.250","91.720","0.41%"
"05/09/2022","91.350","91.840","91.850","91.160","-0.72%"
"05/06/2022","92.010","92.010","92.010","92.010","-0.81%"
"05/05/2022","92.760","92.760","92.760","92.350","-0.14%"
"05/04/2022","92.890","92.420","92.890","92.420","-0.43%"
"05/03/2022","93.290","92.440","93.290","92.440","0.26%"
"05/02/2022","93.050","92.940","93.050","92.940","-0.55%"
"04/29/2022","93.560","93.940","93.940","93.560","-1.08%"
"04/28/2022","94.580","94.460","94.750","94.460","0.39%"
"04/27/2022","94.210","94.420","94.420","93.950","0.10%"
"04/26/2022","94.120","94.140","94.160","93.800","0.82%"
"04/22/2022","93.350","93.890","93.890","93.350","-0.48%"
"04/21/2022","93.800","93.660","94.080","93.660","-0.44%"
"04/20/2022","94.210","94.580","94.580","94.210","0.53%"
"04/19/2022","93.710","93.810","94.260","93.710","-1.30%"
"04/14/2022","94.940","94.940","94.940","94.940","0.49%"
"04/13/2022","94.480","94.840","94.840","94.480","0.13%"
"04/12/2022","94.360","94.360","94.360","94.360","-0.14%"
"04/11/2022","94.490","94.380","94.490","94.380","-0.60%"
"04/08/2022","95.060","94.980","95.280","94.920","-0.61%"
"04/07/2022","95.640","95.640","95.640","95.200","0.65%"
"04/06/2022","95.020","95.500","95.500","95.020","-1.51%"
"04/05/2022","96.480","96.070","96.480","96.070","0.51%"
"04/04/2022","95.990","95.990","95.990","95.990","-0.93%"
"04/01/2022","96.890","96.890","96.890","96.890","1.18%"
"03/30/2022","95.760","95.800","95.800","95.750","-0.10%"
"03/29/2022","95.860","96.210","96.210","95.860","-1.15%"
"03/28/2022","96.980","96.700","96.980","96.700","-0.39%"
"03/25/2022","97.360","96.980","97.360","96.980","-0.10%"
"03/24/2022","97.460","97.460","97.460","96.960","0.09%"
"03/23/2022","97.370","96.870","97.370","96.870","1.00%"
"03/22/2022","96.410","96.410","96.410","96.410","-0.94%"
"03/21/2022","97.320","97.320","97.320","97.320","-0.02%"
"03/18/2022","97.340","97.340","97.340","97.340","-0.07%"
"03/17/2022","97.410","97.410","97.410","97.410","-0.42%"
"03/16/2022","97.820","97.150","97.820","97.150","0.02%"
"03/15/2022","97.800","97.300","97.800","97.300","-0.07%"
"03/14/2022","97.870","97.520","97.870","97.520","0.37%"
"03/11/2022","97.510","97.510","97.510","97.510","-1.65%"
"03/10/2022","99.150","99.150","99.150","99.150","-0.25%"
"03/09/2022","99.400","100.230","100.230","99.400","-0.54%"
"03/08/2022","99.940","99.940","99.940","99.940","-0.34%"
"03/07/2022","100.280","100.280","100.280","100.280","-0.18%"
"03/04/2022","100.460","100.460","100.460","100.460","0.78%"
"03/03/2022","99.680","99.320","99.680","99.320","-0.33%"
"03/02/2022","100.010","100.010","100.010","100.010","1.68%"
"02/28/2022","98.360","98.360","98.360","98.360","-0.08%"
"02/25/2022","98.440","98.640","98.640","98.360","0.17%"
"02/24/2022","98.270","98.350","98.500","98.270","0.38%"
"02/23/2022","97.900","97.550","97.900","97.550","-0.09%"
"02/22/2022","97.990","97.560","97.990","97.560","0.23%"
"02/21/2022","97.770","97.770","97.770","97.770","-0.29%"
"02/18/2022","98.050","98.400","98.400","98.050","0.07%"
"02/17/2022","97.980","97.980","97.980","97.980","0.23%"
"02/16/2022","97.760","97.570","97.760","97.270","0.18%"
"02/15/2022","97.580","97.770","97.770","97.380","-0.14%"
"02/14/2022","97.720","98.280","98.280","97.720","-0.31%"
"02/11/2022","98.020","98.060","98.070","97.660","-0.58%"
"02/10/2022","98.590","98.220","98.590","98.220","0.20%"
"02/09/2022","98.390","98.780","98.780","98.390","0.08%"
"02/08/2022","98.310","98.720","98.720","98.310","0.06%"
"02/07/2022","98.250","98.640","98.650","98.250","-1.20%"
"02/04/2022","99.440","99.440","99.450","99.030","-1.09%"
"02/03/2022","100.540","100.840","100.850","100.540","-0.64%"
"02/02/2022","101.190","100.850","101.190","100.850","-0.19%"
"02/01/2022","101.380","101.460","101.460","100.940","-0.08%"
"01/31/2022","101.460","101.340","101.710","101.340","-0.20%"
"01/28/2022","101.660","101.860","101.860","101.430","0.46%"
"01/27/2022","101.190","101.680","101.680","101.190","-0.57%"
"01/26/2022","101.770","102.070","102.070","101.770","-0.12%"
"01/25/2022","101.890","102.180","102.190","101.890","-0.28%"
"01/24/2022","102.180","101.430","102.240","101.430","0.33%"
"01/21/2022","101.840","102.040","102.190","101.660","0.26%"
"01/20/2022","101.580","101.920","101.920","101.580","-0.20%"
"01/19/2022","101.780","101.660","101.780","101.660","0.29%"
"01/18/2022","101.490","101.960","101.970","101.490","-0.26%"
"01/17/2022","101.750","101.750","102.040","101.750","-0.31%"
"01/14/2022","102.070","102.160","102.400","102.070","0.14%"
"01/13/2022","101.930","102.140","102.180","101.930","0.11%"
"01/12/2022","101.820","102.080","102.080","101.800","0.02%"
"01/11/2022","101.800","102.160","102.160","101.800","0.07%"
"01/10/2022","101.730","102.000","102.000","101.730","-0.13%"
"01/07/2022","101.860","102.270","102.270","101.860","-0.36%"
"01/05/2022","102.230","102.600","102.600","102.230","-0.09%"
"01/04/2022","102.320","102.720","102.720","102.320","-0.01%"
"01/03/2022","102.330","102.330","102.330","102.330","0.02%"
"12/30/2021","102.310","102.310","102.310","102.310","-0.30%"
"12/28/2021","102.620","102.620","102.940","102.620","-0.43%"
"12/27/2021","103.060","103.090","103.150","102.690","0.12%"
"12/23/2021","102.940","102.940","102.940","102.940","-0.51%"
"12/21/2021","103.470","103.830","103.830","103.470","-0.55%"
"12/20/2021","104.040","104.040","104.390","104.040","0.02%"
"12/17/2021","104.020","104.020","104.020","103.730","-0.24%"
"12/15/2021","104.270","104.180","104.270","103.870","-0.01%"
"12/14/2021","104.280","104.040","104.280","104.040","0.57%"
"12/13/2021","103.690","104.120","104.120","103.690","0.15%"
"12/10/2021","103.530","103.530","103.530","103.530","-0.10%"
"12/09/2021","103.630","103.570","103.830","103.570","-0.59%"
"12/07/2021","104.250","103.830","104.250","103.830","0.09%"
"12/06/2021","104.160","104.160","104.160","104.160","0.50%"
"12/03/2021","103.640","103.960","103.960","103.640","-0.05%"
"12/02/2021","103.690","103.280","103.690","103.280","0.00%"
"12/01/2021","103.690","103.690","103.690","103.690","-0.27%"
"11/30/2021","103.970","104.000","104.000","103.560","0.32%"
"11/29/2021","103.640","103.400","103.640","103.400","0.47%"
"11/26/2021","103.160","103.590","103.590","103.160","0.27%"
"11/25/2021","102.880","103.120","103.120","102.880","0.02%"
"11/24/2021","102.860","102.860","102.860","102.860","-0.48%"
"11/23/2021","103.360","103.110","103.360","103.110","-0.62%"
"11/22/2021","104.010","104.010","104.010","104.010","0.00%"
"11/19/2021","104.010","103.320","104.010","103.320","0.90%"
"11/18/2021","103.080","103.380","103.380","103.080","0.00%"
"11/17/2021","103.080","103.320","103.320","103.080","0.08%"
"11/16/2021","103.000","103.310","103.310","103.000","0.11%"
"11/12/2021","102.890","103.200","103.200","102.890","-0.28%"
"11/11/2021","103.180","102.820","103.180","102.820","-0.27%"
"11/10/2021","103.460","103.460","103.460","103.460","0.15%"
"11/09/2021","103.300","103.700","103.700","103.300","-0.23%"
"11/08/2021","103.540","103.330","103.840","103.330","0.36%"
"11/05/2021","103.170","103.450","103.450","103.170","0.17%"
"11/04/2021","103.000","102.690","103.000","102.690","0.46%"
"11/03/2021","102.530","102.800","102.800","102.530","0.53%"
"11/02/2021","101.990","102.560","102.560","101.990","-0.34%"
"10/29/2021","102.340","102.340","102.350","102.020","-0.43%"
"10/28/2021","102.780","102.940","102.940","102.660","-0.11%"
"10/27/2021","102.890","102.660","102.890","102.660","0.16%"
"10/26/2021","102.730","102.560","102.910","102.560","0.25%"
"10/25/2021","102.470","102.470","102.470","102.470","0.10%"
"10/22/2021","102.370","102.740","102.740","102.370","-0.33%"
"10/21/2021","102.710","102.940","102.940","102.710","-0.18%"
"10/20/2021","102.900","102.780","102.900","102.440","0.41%"
"10/19/2021","102.480","103.120","103.120","102.480","-0.45%"
"10/18/2021","102.940","103.160","103.160","102.790","-0.56%"
"10/15/2021","103.520","103.520","103.520","103.520","0.20%"
"10/14/2021","103.310","102.840","103.310","102.840","0.34%"
"10/13/2021","102.960","103.180","103.180","102.960","0.02%"
"10/12/2021","102.940","102.920","103.190","102.920","0.04%"
"10/11/2021","102.900","103.220","103.220","102.900","-0.12%"
"10/08/2021","103.020","103.180","103.370","103.020","-0.23%"
