"Date","Price","Open","High","Low","Change %"
"07/16/2025","101.280","101.150","101.330","101.150","0.11%"
"07/15/2025","101.170","101.150","101.230","101.130","0.06%"
"07/14/2025","101.110","101.110","101.140","101.090","0.04%"
"07/11/2025","101.070","101.110","101.140","101.070","-0.09%"
"07/10/2025","101.160","101.240","101.240","101.130","-0.04%"
"07/09/2025","101.200","101.180","101.220","101.160","-0.01%"
"07/08/2025","101.210","101.240","101.240","101.150","-0.05%"
"07/07/2025","101.260","101.360","101.400","101.250","-0.13%"
"07/04/2025","101.390","101.360","101.390","101.350","0.06%"
"07/03/2025","101.330","101.260","101.350","101.200","0.13%"
"07/02/2025","101.200","101.480","101.480","101.200","-0.08%"
"07/01/2025","101.280","101.300","101.380","101.270","0.00%"
"06/30/2025","101.280","101.240","101.310","101.230","0.07%"
"06/27/2025","101.210","101.300","101.300","101.200","-0.12%"
"06/26/2025","101.330","101.350","101.350","101.320","0.07%"
"06/25/2025","101.260","101.310","101.350","101.230","-0.03%"
"06/24/2025","101.290","101.300","101.330","101.260","0.04%"
"06/23/2025","101.250","101.130","101.250","101.100","0.06%"
"06/20/2025","101.190","101.220","101.280","101.170","-0.01%"
"06/19/2025","101.200","101.170","101.260","101.160","-0.02%"
"06/18/2025","101.220","101.160","101.230","101.150","0.04%"
"06/17/2025","101.180","101.230","101.350","101.180","-0.09%"
"06/16/2025","101.270","101.170","101.290","101.130","0.05%"
"06/13/2025","101.220","101.330","101.350","101.200","-0.13%"
"06/12/2025","101.350","101.360","101.370","101.300","0.02%"
"06/11/2025","101.330","101.290","101.350","101.250","0.03%"
"06/10/2025","101.300","101.250","101.310","101.240","0.08%"
"06/09/2025","101.220","101.300","101.360","101.200","-0.04%"
"06/06/2025","101.260","101.260","101.370","101.250","0.02%"
"06/05/2025","101.240","101.500","101.510","101.240","-0.21%"
"06/04/2025","101.450","101.540","101.540","101.450","-0.08%"
"06/03/2025","101.530","101.500","101.560","101.490","0.01%"
"06/02/2025","101.520","101.510","101.520","101.440","0.08%"
"05/30/2025","101.440","101.510","101.510","101.430","-0.04%"
"05/29/2025","101.480","101.360","101.500","101.280","0.10%"
"05/28/2025","101.380","101.360","101.390","101.320","0.02%"
"05/27/2025","101.360","101.390","101.440","101.330","0.01%"
"05/26/2025","101.350","101.350","101.390","101.310","-0.03%"
